racetime_ms,x,y,z,speed,turning,dist_to_next_cp,action
78630,171.19976806640625,90.01385498046875,688.001220703125,0,0.0,890.1285163246731,none
78680,171.19976806640625,90.01385498046875,688.0011596679688,0,0.0,890.1284900626924,none
78720,171.19976806640625,90.01385498046875,688.0011596679688,0,0.0,890.1284900626924,none
78770,171.19976806640625,90.01385498046875,688.001220703125,0,0.0,890.1285163246731,none
78830,171.19976806640625,90.01385498046875,688.001220703125,0,0.0,890.1285163246731,none
78880,171.19976806640625,90.01385498046875,688.0011596679688,0,0.0,890.1284900626924,none
78940,171.19976806640625,90.01385498046875,688.0011596679688,0,0.0,890.1284900626924,none
78990,171.19976806640625,90.01385498046875,688.001220703125,0,0.0,890.1285163246731,none
79020,171.19976806640625,90.01385498046875,688.0011596679688,0,0.0,890.1284900626924,none
79080,171.19976806640625,90.01385498046875,688.0011596679688,0,0.0,890.1284900626924,none
79130,171.19976806640625,90.01385498046875,688.001220703125,0,0.0,890.1285163246731,none
79190,171.19976806640625,90.01385498046875,688.001220703125,0,0.0,890.1285163246731,none
79220,171.19976806640625,90.01385498046875,688.001220703125,0,0.0,890.1285163246731,none
79280,171.19976806640625,90.01385498046875,688.0011596679688,0,0.0,890.1284900626924,none
79330,171.19976806640625,90.01385498046875,688.001220703125,0,0.0,890.1285163246731,none
79390,171.19976806640625,90.01385498046875,688.001220703125,0,0.0,890.1285163246731,none
79450,171.19976806640625,90.01385498046875,688.001220703125,0,0.0,890.1285163246731,none
79500,171.19976806640625,90.01385498046875,688.0011596679688,0,0.0,890.1284900626924,none
79530,171.19976806640625,90.01385498046875,688.001220703125,0,0.0,890.1285163246731,none
79590,171.19976806640625,90.01385498046875,688.001220703125,0,0.0,890.1285163246731,none
79640,171.19976806640625,90.01385498046875,688.0011596679688,0,0.0,890.1284900626924,none
79700,171.19976806640625,90.01385498046875,688.0011596679688,0,0.0,890.1284900626924,none
79750,171.19976806640625,90.01385498046875,688.001220703125,0,0.0,890.1285163246731,none
79780,171.19976806640625,90.01385498046875,688.0011596679688,0,0.0,890.1284900626924,none
79840,171.19976806640625,90.01385498046875,688.0011596679688,0,0.0,890.1284900626924,none
79890,171.19976806640625,90.01385498046875,688.001220703125,0,0.0,890.1285163246731,none
79950,171.19976806640625,90.01385498046875,688.001220703125,0,0.0,890.1285163246731,none
80010,171.19976806640625,90.01385498046875,688.001220703125,0,0.0,890.1285163246731,none
80060,171.19976806640625,90.01385498046875,688.0011596679688,0,0.0,890.1284900626924,none
80110,171.19976806640625,90.01385498046875,688.001220703125,0,0.0,890.1285163246731,none
80160,171.19976806640625,90.01385498046875,688.0011596679688,0,0.0,890.1284900626924,none
80210,171.19976806640625,90.01385498046875,688.001220703125,0,0.0,890.1285163246731,none
80270,171.19976806640625,90.01385498046875,688.001220703125,0,0.0,890.1285163246731,none
80320,171.19976806640625,90.01385498046875,688.0011596679688,0,0.0,890.1284900626924,none
80370,171.19976806640625,90.01385498046875,688.001220703125,0,0.0,890.1285163246731,none
80420,171.19976806640625,90.01385498046875,688.0011596679688,0,0.0,890.1284900626924,none
80470,171.19976806640625,90.01385498046875,688.001220703125,0,0.0,890.1285163246731,none
80520,171.19976806640625,90.01385498046875,688.0011596679688,0,0.0,890.1284900626924,none
80570,171.19976806640625,90.01385498046875,688.001220703125,0,0.0,890.1285163246731,none
80620,171.19976806640625,90.01385498046875,688.0011596679688,0,0.0,890.1284900626924,none
80670,171.19976806640625,90.01385498046875,688.001220703125,0,0.0,890.1285163246731,none
80720,171.19976806640625,90.01385498046875,688.0011596679688,0,0.0,890.1284900626924,none
80770,171.19976806640625,90.01385498046875,688.001220703125,0,0.0,890.1285163246731,none
80830,171.19976806640625,90.01385498046875,688.001220703125,0,0.0,890.1285163246731,none
80880,171.19976806640625,90.01385498046875,688.0011596679688,0,0.0,890.1284900626924,none
80930,171.19976806640625,90.01385498046875,688.001220703125,0,0.0,890.1285163246731,none
80980,171.19976806640625,90.01385498046875,688.0011596679688,0,0.0,890.1284900626924,none
81030,171.19976806640625,90.01385498046875,688.001220703125,0,0.0,890.1285163246731,none
81080,171.19976806640625,90.01385498046875,688.0011596679688,0,0.0,890.1284900626924,none
81130,171.19976806640625,90.01385498046875,688.001220703125,0,0.0,890.1285163246731,none
81180,171.19976806640625,90.01385498046875,688.0011596679688,0,0.0,890.1284900626924,none
81230,171.19976806640625,90.01385498046875,688.001220703125,0,0.0,890.1285163246731,none
-2480,171.1999969482422,90.20999908447266,688.0,0,0.0,890.142353147215,none
-2230,171.1999969482422,90.20999908447266,688.0,0,0.0,890.142353147215,none
-1990,171.1999969482422,90.20999908447266,688.0,0,0.0,890.142353147215,none
-1720,171.1999969482422,90.20999908447266,688.0,0,0.0,890.142353147215,none
-1460,171.1999969482422,90.20999908447266,688.0,0,0.0,890.142353147215,none
-1210,171.1999969482422,90.20999908447266,688.0,0,0.0,890.142353147215,none
-960,171.1999969482422,90.20999908447266,688.0,0,0.0,890.142353147215,none
-700,171.1999969482422,90.20999908447266,688.0,0,0.0,890.142353147215,none
-440,171.1999969482422,90.20999908447266,688.0,0,0.0,890.142353147215,none
-190,171.1999969482422,90.20999908447266,688.0,0,0.0,890.142353147215,none
30,171.20120239257812,90.20158386230469,688.0,1,0.0,890.1406427949296,none
80,171.2317657470703,90.13607788085938,688.0,4,0.0,890.1082775629143,none
130,171.3029327392578,90.03264617919922,688.0,7,0.0,890.0365744627469,none
180,171.41259765625,90.00665283203125,688.000244140625,10,0.0,889.9360954705569,none
