racetime_ms,x,y,z,speed,turning
950,173.86419677734375,90.00791931152344,687.9996948242188,29,0.0
950,173.86419677734375,90.00791931152344,687.9996948242188,29,0.0
950,173.86419677734375,90.00791931152344,687.9996948242188,29,0.0
950,173.86419677734375,90.00791931152344,687.9996948242188,29,0.0
950,173.86419677734375,90.00791931152344,687.9996948242188,29,0.0
950,173.86419677734375,90.00791931152344,687.9996948242188,29,0.0
950,173.86419677734375,90.00791931152344,687.9996948242188,29,0.0
950,173.86419677734375,90.00791931152344,687.9996948242188,29,0.0
950,173.86419677734375,90.00791931152344,687.9996948242188,29,0.0
950,173.86419677734375,90.00791931152344,687.9996948242188,29,0.0
950,173.86419677734375,90.00791931152344,687.9996948242188,29,0.0
950,173.86419677734375,90.00791931152344,687.9996948242188,29,0.0
950,173.86419677734375,90.00791931152344,687.9996948242188,29,0.0
950,173.86419677734375,90.00791931152344,687.9996948242188,29,0.0
950,173.86419677734375,90.00791931152344,687.9996948242188,29,0.0
950,173.86419677734375,90.00791931152344,687.9996948242188,29,0.0
950,173.86419677734375,90.00791931152344,687.9996948242188,29,0.0
950,173.86419677734375,90.00791931152344,687.9996948242188,29,0.0
950,173.86419677734375,90.00791931152344,687.9996948242188,29,0.0
950,173.86419677734375,90.00791931152344,687.9996948242188,29,0.0
950,173.86419677734375,90.00791931152344,687.9996948242188,29,0.0
950,173.86419677734375,90.00791931152344,687.9996948242188,29,0.0
950,173.86419677734375,90.00791931152344,687.9996948242188,29,0.0
950,173.86419677734375,90.00791931152344,687.9996948242188,29,0.0
950,173.86419677734375,90.00791931152344,687.9996948242188,29,0.0
950,173.86419677734375,90.00791931152344,687.9996948242188,29,0.0
950,173.86419677734375,90.00791931152344,687.9996948242188,29,0.0
950,173.86419677734375,90.00791931152344,687.9996948242188,29,0.0
950,173.86419677734375,90.00791931152344,687.9996948242188,29,0.0
950,173.86419677734375,90.00791931152344,687.9996948242188,29,0.0
950,173.86419677734375,90.00791931152344,687.9996948242188,29,0.0
950,173.86419677734375,90.00791931152344,687.9996948242188,29,0.0
950,173.86419677734375,90.00791931152344,687.9996948242188,29,0.0
950,173.86419677734375,90.00791931152344,687.9996948242188,29,0.0
950,173.86419677734375,90.00791931152344,687.9996948242188,29,0.0
950,173.86419677734375,90.00791931152344,687.9996948242188,29,0.0
950,173.86419677734375,90.00791931152344,687.9996948242188,29,0.0
950,173.86419677734375,90.00791931152344,687.9996948242188,29,0.0
950,173.86419677734375,90.00791931152344,687.9996948242188,29,0.0
950,173.86419677734375,90.00791931152344,687.9996948242188,29,0.0
950,173.86419677734375,90.00791931152344,687.9996948242188,29,0.0
950,173.86419677734375,90.00791931152344,687.9996948242188,29,0.0
950,173.86419677734375,90.00791931152344,687.9996948242188,29,0.0
950,173.86419677734375,90.00791931152344,687.9996948242188,29,0.0
